,date,data,result
0,2022.02.15 00:00:12,비트스캠 음전해  온톨장군길막지마라 ㅋ,비트 음전 장군
1,2022.02.15 00:00:18,형님들 보통 비트코인 몇시부터 몇시에 많이 하세요? 핫한 시간대가 궁금합니다,보통 비트코인 많이 세요 시간대
2,2022.02.15 00:00:23,좋은 자리에 숏 하나는 사실 매우매우 큰 의미가 있지. 지금 당장은 그게 큰 돈이 되지 않을지 모르지만 시간이 아주오래 오래오래 지나면 그래도 꽤 큰돈이 되어있지 않을까? @_@...머 물론 오름 어차피 업비트로 사놓은 거 있으니 상과없고! 숏충이. 포기하지 않는다! ,자리 사실 매우 매우 의미 지금 모르 아주 오래 오래오래 어차피 업비트 충이 포기
3,2022.02.15 00:01:01,논톨가스쏜다 ㅋㅋㅋㅋㅋ,가스
4,2022.02.15 00:01:05,가만히 생각해 봤는데 선물로 배율박는거보다 차라리 바카라에 박는게 더 이득일꺼같다어차피 둘다 홀짝게임인데 선물은 수익값 손실값 자기판단하에 익절/손절해야되는데 걍 바카라는 건 돈의 2배거나 잃거나니까 바카라가 200배 나은듯 바카라하러간다 ㅂㅇ,가만히 생각 선물 배율 보 바카라 이득 어차피 홀짝 게임 선물 수익 손실 단하 손절 바카 바카라 바카라
5,2022.02.15 00:01:20,비트내려가니  온톨가쥬~ 마법이쥬~~,비트 마법
6,2022.02.15 00:01:51,바이낸스 한국어 없냐?? 하 ,바이 낸스 한국어
7,2022.02.15 00:02:39,호반꿀 숏 너무달아 ㅋㅋ,호반 너무
8,2022.02.15 00:03:02,오늘 소다 플레이 어플 또 업데이트한다는데 이게 로드맵에서 말하는 3.0 업데이트 말하는건가소다코인 ㅅㅂ 어찌될라나..,오늘 소다 플레이 업데이트 로드맵 업데이트 건가 소다 코인
9,2022.02.15 00:03:18,온톨 씹 짱깨에 목메는 너네도 참 대단,짱깨 목메 대단
10,2022.02.15 00:03:29,러시아 침공 임박했는데 머장 오르는이유 ,러시아 침공 임박 오르 이유
11,2022.02.15 00:03:37,업비트에서 리플사서 바이낸스로 보내는데 출금제한 있네? ㅠㅠ 보유금액 기준 어쩌고 저쩌고 든데업비트에 5천입금 하고 시간 좀 걸려도 바이낸스로 5천 다 보낼 수 있음?,업비트 리플 바이 낸스 금제 보유 금액 기준 어쩌 저쩌 업비트 입금 바이 스로
12,2022.02.15 00:03:51,음전하라구비트 온톨앞길막지마,음전 비트 앞길
13,2022.02.15 00:04:16,무빙 개 ㅈ같으먄 개추ㅋㅋㅋㅋㅋ 개같메,무빙 개추
14,2022.02.15 00:04:20,코티 탑승완료ㅛ 떡상갑니다,코티 탑승 완료
15,2022.02.15 00:04:22,속보) 러시아 16일 전쟁 시작할듯  미국 분석 예정일이 16일임 조심하라!!!!!,속보 러시아 전쟁 시작 미국 분석 예정일 조심
16,2022.02.15 00:04:23,떡치고 싶으면 개추ㅋ 안 누르고 뭐해 시팔아ㅋ,개추 누르
17,2022.02.15 00:05:05,뇌가있으면 실체를 봐라 ,실체
18,2022.02.15 00:05:32,이해가 안되네 왜오르는거냐 ,이해 오르
19,2022.02.15 00:05:48,온톨 언제 운지하냐고 ,운지
20,2022.02.15 00:05:50,병신새끼들 온톨이 오르든 떨어지든 니들은 사는게아냐 흉노새끼들 ㅉㅉ 사실 일본 보다 더한 놈들이 중국짱꺠 새끼들이다오르거나 떨어져도 거뜰도 보지마라똑같은 흉노족이 되고싶노? 옛부터 우리 조국을 지키기위해 힘 써 오신 조상님들이 극대노 하신다 절대 매매하지마라,오르 떨어지 흉노 사실 일본 보 더 중국 오르 똑같 흉노 옛부터 조국 지키 조상 극대 하신 절대 매매
21,2022.02.15 00:06:25,팩트)팩트 ,
22,2022.02.15 00:07:44,아 코인질 안할테니까내 시드 돌려줘요 아 시1발 그냥 개미로살게요 제발여 ,코인 시드 그냥 개미 제발
23,2022.02.15 00:08:02,숏충이 -14%인데 어카냐 ,충이
24,2022.02.15 00:08:03,배우 이름존 체대 모애로 유명했던 MMGH 033 찍은애 다른 작품은 없는거임?,배우 이름 체대 모애 유명 작품
25,2022.02.15 00:08:35,아니 근데  ,
26,2022.02.15 00:09:15,마스크 개같이 운지했었노 ㅋㅋㅋ ㅋㅋㅋ,마스크 운지
27,2022.02.15 00:09:37,코린이들아 분할매수 해봐 그럼 하락장 조정장 구분가능하고 충분히 대처 가능하다분할매수 하면 풀매수할때보다 이성적으로 대처가능,코린 분할 매수 하락 조정장 구분 가능 충분히 대처 가능 매수 매수 보 이성 대처 가능
28,2022.02.15 00:10:21,업비트는 특금법 안먹냐? ,업비트
29,2022.02.15 00:11:12,아니 선물 바이낸스 즐겨찾기 아이콘 나만 안뜨냐고? 아니 바낸충 여기 없냐고,선물 바이 낸스 즐겨찾기 아이콘
30,2022.02.15 00:11:15,아니 얘들아 온톨 ㅅㅂ 온톨로지가 근본 아니야?? 왜 가스 찌그랭이 마이너가 올라가는거야?? 개 ㅅㅂ 온톨로지 차트 누가봐도 매집봉 그려놓길래 바로 탑승 햇더니어줍잖은 해석으로 한순간에 개 싀바 미끼를 문 물고기 되버렷네 싀바,온톨로지 근본 가스 마이너 온톨로지 차트 매집 탑승 어줍 해석 순간 미끼 물고기 버
31,2022.02.15 00:11:38,현금있다 비추 물려있다 개추 ,현금 비추 개추
32,2022.02.15 00:11:52,진지하게 대학교 3학년인데 친구0명인데 나만그럼? ㅇㅇ,대학교 학년 친구
33,2022.02.15 00:12:05,4200원만 보내줄사람 없냐.. 하 아니면 육개장에 삼김먹게 1650원만이라도  ㅜㅜ,사람 육개장 원만
34,2022.02.15 00:12:21,매일매일이 전쟁인데 뭔 전쟁이난다고 하노 매일매일 계좌전쟁중인데 먼놈의 전쟁 좆까고 ㅋㅋ,매일 매일 전쟁 전쟁 매일 매일 계좌 전쟁 전쟁 좆
35,2022.02.15 00:12:32,아니 박호두 캠 왜저러냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,박호
36,2022.02.15 00:12:37,우크라이나 긴장고조 서방·러시아 군사력 동서남북 집결 ,우크라 이나 긴장 고조 서방 러시아 군사력 동서남북 집결
37,2022.02.15 00:13:09,러시아고 지랄이고 이미 내 계좌가 전쟁중인데 시발년들아 ,러시아 지랄 이미 계좌 전쟁
38,2022.02.15 00:13:16,아 콜라 먹고 싶다.. ㅠㅠ ㅠㅠㅠㅠㅠㅠㅠ,콜라
