,date,data,result
0,2022.01.22 00:00:29,이제 알트코인 매매 잘하려면... 비트코인 눈치 봐야하고그리고 그 비트코인이 눈치보는 나스닥도 봐야함가끔식 BJ옐런  파월등등도 봐야함에이 시발 ,이제 알트 코인 매매 려면 . 비트코인 눈치 봐야 비트코인 눈 나스닥 봐야 가끔 BJ 옐런 파월 봐야
1,2022.01.22 00:00:30,코스모스 든놈들은 진득하게 기다려라 아직 박스권임 ,코스모스 진득 기다려라 아직 박스
2,2022.01.22 00:00:46,시드 1억에 마이너스 22면 아직 죽으면 안되지? 쿠쿠쿠 ,시드 마이너스 22 아직 으면 쿠쿠
3,2022.01.22 00:00:48,아 시팔 퇴근하고오니까 청산당해있네 개씨팔 ,시팔 퇴근 니까 청산 당해
4,2022.01.22 00:00:49,네스트리도 경주마 나능성 있다! 내 느낌에 ,네스트 리도 경주마 능성 느낌
5,2022.01.22 00:01:05,나ㅡㅡ스ㅡㅡ닥ㅡㅡ개ㅡㅡ씹ㅡㅡ죶ㅡㅡ운ㅡㅡ지   ,ㅡㅡ스ㅡㅡ닥ㅡㅡ개ㅡㅡ씹ㅡㅡ죶ㅡㅡ운ㅡㅡ지
6,2022.01.22 00:01:06,비트코인은진짜 아무리생각해도 거래소 놀이터다 걍 시발 천번만번생각해도  각각 거래소 놀이터 그이상 그이하도아니다 뭐? 희소성?개좆까는소리 팩트  ,비트코인 진짜 아무리 생각 거래소 놀이 터다 생각    거래소 놀이터 이하 희소성 좆 소리
7,2022.01.22 00:01:21,노무현 드간다잉 드간다 ,노무현 드간 간다
8,2022.01.22 00:01:25,12월 4일 때 하따로 20퍼 먹고 그 뒤로 조금씩 잃다가 결국 본전 옴 잃어버린 내 2개월 ㅅㅂ ,12 따로 20 다가 본전 잃어버린
9,2022.01.22 00:01:29,내가 저배로 롱 갈아탄 이유 수일동안 내리꽂기만함.  그것도 반등 없이 말그대로 내리 꽂음개나소나 다 숏잡음.  고배 다수 포함 하다못해 옆집 아줌마도 숏잡은 상태다음주까지 계속 떨어지기만 한다?? 그건 말이 안됨그럼 반등을 한두번은 줄껀데 그게 언제가 될까나스닥이 쉬는 이번주  곧 오늘임 ,저배 갈아탄 이유 수일 내리꽂 없이 그대로 내리 소나 잡음 고배 포함 못 옆집 아줌마 상태 계속 떨어지 한다 그건 그게 될까 나스닥    오늘
10,2022.01.22 00:01:55,나스닥 씹 죶 운지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,나스닥 운지
11,2022.01.22 00:01:56,운지  ,운지
12,2022.01.22 00:01:58,롱청산 비율 존나 낮은거보니 하락초입이다ㅋㅋㅋ 풀숏40배  ,청산 비율 하락 초입 40
13,2022.01.22 00:02:14,나스닥 14000도 붕괴하면 진짜 대곰탕이다   ,나스닥 14000 붕괴 진짜 곰탕
14,2022.01.22 00:02:21,나스닥 개흐르노ㅋㅋㅋ 머장 4천 깨지겠노 ㅋㅋㅋ  ,나스닥 흐르 깨
15,2022.01.22 00:02:26,우.유.빛.깔.노.무.현 드가자 ,드가
16,2022.01.22 00:02:31,비트코인 1월31일 가격 3400만원 찍혀있을거같다..씨발 ,비트코인 31 가격 3400 찍혀
17,2022.01.22 00:02:33,써틱 가는데 안산 흑우 있냐 ㅋㅋㅋ ㅋㅋ ,흑우
18,2022.01.22 00:02:48,난 자련다 어차피 관망충인데 그냥 편하게 꿀잠잔다 ㅃ ,자련 어차피 망충 인데 그냥 편하 꿀잠 잔다
19,2022.01.22 00:02:49,솔직히 숏치고싶은데  ,솔직히 은데
20,2022.01.22 00:02:50,나스닥 비트코인 동시 ㅡㅡㅡ시즌종료ㅡㅡㅡㅡ ㅡ ,나스닥 비트코인 동시 ㅡㅡㅡ시즌종료ㅡㅡㅡㅡ
21,2022.01.22 00:02:59,나스닥 개같이 반등ㅋㅋ 비트 2000 기원 ,나스닥 비트 2000 기원
22,2022.01.22 00:03:04,자기 무섭다 개추ㅋㅋㅋ 시발 랄부 떨리네 ,무섭 개추 떨리
23,2022.01.22 00:03:11,나스닥 질질싸는중 비트코인 3천도 금방이다ㅋㅋㅋㅋㅋ ㅋㅋㅋ 일단 오늘 9시에 4천  ,나스닥 질질 비트코인 금방 오늘
24,2022.01.22 00:03:09,초대형 악재떴다  ,초대 악재
25,2022.01.22 00:03:13,롱스톤대가리들아 대가뤼뜨끈하제ㅋㅋㄱㄱㅋㄱㄱ 육봉봐라 니들 ㅈ댓다 비유융시이인드으을ㅋ ,스톤 대가리 뜨끈 육봉 댓다 비유 시이
26,2022.01.22 00:03:22,노스닥 14000붕괴 38k 깨러가즈아 ㅋㅋ ㅋㅋㅋㅋ ,노스 14000 붕괴 38 가즈
27,2022.01.22 00:03:24,원금 마이너스 60프로 돌파했다 ㅎㅎ 씨발....  ,원금 마이너스 60 프로 돌파 ㅎㅎ
28,2022.01.22 00:03:42,멸공!! ^^7 빨갱이새끼들 제발 두부다 깨져서 잔인하게 뒈졌으면 좋겠다김일성 씹쌔끼 김정일 개새끼 김정은 애미뒤진창년갈보콜걸년새끼 ^오^ ,멸공 ^^ 빨갱이 제발 두부 깨져서 잔인 뒈졌 으면 김일성 김정일 개새끼 김정은 애미 진창 갈보 콜걸
29,2022.01.22 00:03:52,37k 38k 구간에서 200만개 던지는게 선물기준 이게 말이 되나 이 구간에서 오지게 던지네 던질거면 위에서 던지지 굳이  이쪽에서.. ,37 38 구간 200 던지 선물 기준 이게 구간 오 던지 던질 던지 굳이   
30,2022.01.22 00:04:07,곡소리 ㅈㄴ나오네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친놈인척 지금 들어간다 ,곡소리 나오 미친 지금 들어간다
31,2022.01.22 00:04:17,생각보다 스닥이에비해 잘버티네 이러다 훅 꺼질듯 조심 ,생각 보 비해 버티 이러 꺼질 조심
32,2022.01.22 00:04:34,나스닥 14000 아무이상없이 돌파 ㅋㅋㅋㅋ  ,나스닥 14000 없이 돌파
33,2022.01.22 00:04:35,코인판 다들 떠나라 이제 설거지  펌핑도없다특히 업비트는 석우형이 펌핑 못하게 해서다 조진거다 ,떠나 이제 설거지    펌핑 특히 업비트 석우 펌핑 해서 조진
