date,title,content,no
2022.02.15 00:00:12,비트스캠 음전해  온톨장군길막지마라,ㅋ,1895037
2022.02.15 00:00:18,형님들 보통 비트코인 몇시부터 몇시에 많이 하세요?,핫한 시간대가 궁금합니다,1895039
2022.02.15 00:00:23,좋은 자리에 숏 하나는 사실 매우매우 큰 의미가 있지.,지금 당장은 그게 큰 돈이 되지 않을지 모르지만 시간이 아주오래 오래오래 지나면 그래도 꽤 큰돈이 되어있지 않을까? @_@...머 물론 오름 어차피 업비트로 사놓은 거 있으니 상과없고! 숏충이. 포기하지 않는다! ,1895040
2022.02.15 00:01:01,논톨가스쏜다,ㅋㅋㅋㅋㅋ,1895042
2022.02.15 00:01:05,가만히 생각해 봤는데 선물로 배율박는거보다,차라리 바카라에 박는게 더 이득일꺼같다어차피 둘다 홀짝게임인데 선물은 수익값 손실값 자기판단하에 익절/손절해야되는데 걍 바카라는 건 돈의 2배거나 잃거나니까 바카라가 200배 나은듯 바카라하러간다 ㅂㅇ,1895043
2022.02.15 00:01:20,비트내려가니  온톨가쥬~,마법이쥬~~,1895045
2022.02.15 00:01:51,바이낸스 한국어 없냐??,하 ,1895047
2022.02.15 00:02:39,호반꿀 숏 너무달아,ㅋㅋ,1895049
2022.02.15 00:03:02,오늘 소다 플레이 어플 또 업데이트한다는데,이게 로드맵에서 말하는 3.0 업데이트 말하는건가소다코인 ㅅㅂ 어찌될라나..,1895051
2022.02.15 00:03:18,온톨 씹,짱깨에 목메는 너네도 참 대단,1895052
2022.02.15 00:03:29,러시아 침공 임박했는데 머장 오르는이유,,1895053
2022.02.15 00:03:37,업비트에서 리플사서 바이낸스로 보내는데 출금제한 있네? ㅠㅠ,보유금액 기준 어쩌고 저쩌고 든데업비트에 5천입금 하고 시간 좀 걸려도 바이낸스로 5천 다 보낼 수 있음?,1895054
2022.02.15 00:03:51,음전하라구비트,온톨앞길막지마,1895056
2022.02.15 00:04:16,무빙 개 ㅈ같으먄 개추ㅋㅋㅋㅋㅋ,개같메,1895057
2022.02.15 00:04:20,코티 탑승완료ㅛ,떡상갑니다,1895059
2022.02.15 00:04:22,속보) 러시아 16일 전쟁 시작할듯 ,미국 분석 예정일이 16일임 조심하라!!!!!,1895060
2022.02.15 00:04:23,떡치고 싶으면 개추ㅋ,안 누르고 뭐해 시팔아ㅋ,1895061
2022.02.15 00:05:05,뇌가있으면 실체를 봐라,,1895062
2022.02.15 00:05:32,이해가 안되네 왜오르는거냐,,1895063
2022.02.15 00:05:48,온톨 언제 운지하냐고,,1895064
2022.02.15 00:05:50,병신새끼들 온톨이 오르든 떨어지든 니들은 사는게아냐 흉노새끼들 ㅉㅉ,사실 일본 보다 더한 놈들이 중국짱꺠 새끼들이다오르거나 떨어져도 거뜰도 보지마라똑같은 흉노족이 되고싶노? 옛부터 우리 조국을 지키기위해 힘 써 오신 조상님들이 극대노 하신다 절대 매매하지마라,1895065
2022.02.15 00:06:25,팩트)팩트,,1895067
2022.02.15 00:07:44,아 코인질 안할테니까내 시드 돌려줘요,아 시1발 그냥 개미로살게요 제발여 ,1895069
2022.02.15 00:08:02,숏충이 -14%인데 어카냐,,1895070
2022.02.15 00:08:03,배우 이름존,체대 모애로 유명했던 MMGH 033 찍은애 다른 작품은 없는거임?,1895071
2022.02.15 00:08:35,아니 근데 ,,1895074
2022.02.15 00:09:15,마스크 개같이 운지했었노 ㅋㅋㅋ,ㅋㅋㅋ,1895076
2022.02.15 00:09:37,코린이들아 분할매수 해봐,그럼 하락장 조정장 구분가능하고 충분히 대처 가능하다분할매수 하면 풀매수할때보다 이성적으로 대처가능,1895077
2022.02.15 00:10:21,업비트는 특금법 안먹냐?,,1895079
2022.02.15 00:11:12,아니 선물 바이낸스 즐겨찾기 아이콘 나만 안뜨냐고?,아니 바낸충 여기 없냐고,1895080
2022.02.15 00:11:15,아니 얘들아 온톨 ㅅㅂ,온톨로지가 근본 아니야?? 왜 가스 찌그랭이 마이너가 올라가는거야?? 개 ㅅㅂ 온톨로지 차트 누가봐도 매집봉 그려놓길래 바로 탑승 햇더니어줍잖은 해석으로 한순간에 개 싀바 미끼를 문 물고기 되버렷네 싀바,1895081
2022.02.15 00:11:38,현금있다 비추 물려있다 개추,,1895083
2022.02.15 00:11:52,진지하게 대학교 3학년인데 친구0명인데 나만그럼?,ㅇㅇ,1895084
2022.02.15 00:12:05,4200원만 보내줄사람 없냐.. 하,아니면 육개장에 삼김먹게 1650원만이라도  ㅜㅜ,1895085
2022.02.15 00:12:21,매일매일이 전쟁인데 뭔 전쟁이난다고 하노,매일매일 계좌전쟁중인데 먼놈의 전쟁 좆까고 ㅋㅋ,1895086
2022.02.15 00:12:32,아니 박호두 캠 왜저러냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,,1895088
2022.02.15 00:12:37,우크라이나 긴장고조 서방·러시아 군사력 동서남북 집결,,1895089
2022.02.15 00:13:09,러시아고 지랄이고 이미 내 계좌가 전쟁중인데 시발년들아,,1895091
2022.02.15 00:13:16,아 콜라 먹고 싶다.. ㅠㅠ,ㅠㅠㅠㅠㅠㅠㅠ,1895092
2022.02.15 00:13:18,우크라이나 나토 가입 포기 러시아 회군ㅋㅋㅋ,ㅋㅋㄱ,1895093
2022.02.15 00:13:42,우크라이나 러시아 다 죽여버리고 싶다 개추,그냥 다 나가 뒤져 병신새끼들아,1895094
2022.02.15 00:14:01,세력도 버린코인,스토리지,1895095
2022.02.15 00:14:29,박호두 그분이 전쟁 안난데요... 호반꿀...,그럼 전쟁난다는 건가??,1895096
2022.02.15 00:14:29,병신 코린이새끼들ㅋㅋ 전쟁은 호재다,전쟁은 저점매수하기 딱좋은 재료지멍청한넘들ㅋㅋ,1895097
2022.02.15 00:14:31,그냥 우크라이나가 항복했으면 좋겠다 ← 개추 ㅋㅋ,,1895098
2022.02.15 00:15:05,하...청산 당했다..ㅅㅂ,하시는 분들! 저 정하은 픽스터가 있다니까요!,1895099
2022.02.15 00:15:29,우크라이나러시아 협상분위기 고조,https://www.bbc.com/news/world-europe-60370541,1895101
2022.02.15 00:16:04,근데 레버리지 10배 해놓고 손실보면 어케됨?,예를 들어 5만원을 레버리지 10배에 롱쳤는데 떨어지면 50만원에서 %비율만큼 손실보는거임?? ,1895104
2022.02.15 00:16:06,-인-도-소-년-,ㅇㅇ,1895105
2022.02.15 00:16:37,(속보) 이재명 형수에게 찢 욕설,https://youtu.be/deVDHZ-wXf0,1895108
2022.02.15 00:16:43,42.7 숏 손절했는데,좀 더 볼껄 그랬나,1895109
2022.02.15 00:16:44,세계 3차대전 일어나서 내 빚 다 사라졌으면 좋겠다,부자들도 거지들도 다 죽었으면,1895110
2022.02.15 00:16:57,빗갤에서 "진짜"인놈들은 전쟁나는거바라는거다.real,,1895111
2022.02.15 00:16:57,걍 우크라이나 나토가입하고 전쟁났으면좋겠다,러중 vs 미나토연합 세계관 최강자들의 싸움이노 ㅋㅋ,1895112
2022.02.15 00:17:09,이제부터 인도소년이 숏이다 ,ㅇㅇ,1895113
2022.02.15 00:17:16,오늘 부터 우리 빗갤러들은 짱꺠 코인 매매 금지다,실제 이번 올림픽 사태 이후로서양국  전세계 국제적으로 짱꺠썌기들을 멸시하고있다따라서 온톨로지나 가스 이새끼들은 절대 매매금지다짱꺠썌끼 코인들 상폐될지경이될떄까지 매매금지다,1895114
2022.02.15 00:17:41,롱쳐라,정하은 픽스터의 긴급 픽☆,1895116
2022.02.15 00:17:44,대통령 잘뽑으면 니들 1억받는데 뭐가문제노?,,1895117
2022.02.15 00:18:09,근데 찢 뽑는 20대 남자는 뭐임?? 남페미임?,진짜 어이없음,1895118
2022.02.15 00:18:38,42.3 숏이다 좀 가자..,인내는 쓰고 열매는 달다,1895120
2022.02.15 00:18:46,고민끝에 결정했따 지금 20배 숏 때리고 ㅋㅋ,밤새 보초선다 .........,1895123
2022.02.15 00:20:39,별로 좋지않은기사구만 회의적 이지랄ㅋㅋ,,1895127
2022.02.15 00:20:52,비트! 기어코 혼내주고 만다! @_@,비트! 기어코 혼내주고 만다! @_@ ,1895128
2022.02.15 00:21:21,내가 보기엔 번지댄데,이게 평소라면 번대라고 볼텐데  전쟁이라는 특수상황이라 애매하네,1895129
2022.02.15 00:21:48,우웅?,정하은 픽스터가 있는데 잃을수가 있다구?,1895134
2022.02.15 00:22:27,[속보]우크라이나 나토가입 신청서 제출,,1895135
2022.02.15 00:23:33,씨발 이게다 인도소년 때문이다 개추,,1895138
2022.02.15 00:23:33,이클 가격 왜 떨어지냐 ㅅㅂ?,ㅋㅋㅋㅋㅋ,1895139
2022.02.15 00:23:35,폰 수리맡기면 사진 다털린다는데 배터리교체도 위험함?,짧은시간에 다훑어봄?,1895140
2022.02.15 00:24:24,우크라이나도 나토 좋아함??,일본 나토 존나 좋아하잖아우크라이나도 나토 좋아하나??,1895141
2022.02.15 00:24:40,4800만원까진 하방 같은데..,주봉 추세가 상승이긴한데이전에 주봉에 쌍봉이 있어서 재상승이 쉬워보이진 않은데월봉도 하락추세에 이번달은 양봉중이긴한뎅,1895142
2022.02.15 00:24:50,러시아랑 우리나라 전쟁나면,축지법 공중부양 쓰는 허경영이 케리해줌?,1895144
2022.02.15 00:25:33,pnl 수수료 포함임?,바이낸스 10배면 roe 몇퍼부터 내 수익임?,1895147
2022.02.15 00:25:57,샌박 4달라 또 깨지면 어케됨?,어떠함 궁금,1895149
2022.02.15 00:26:05,지금 전쟁하면 주변국가는 구경만함?,?,1895150
2022.02.15 00:26:15,진지하게 선물로 돈 벌거라고 생각하지 마셈 경험담임,레버리지 기능이 생각보다 매력적으로 다가오겠지만그렇다곤 할 수 없는게 버는게 클 수록 잃는거도 크다이거 항상 명심해야함현물은 존버라도 해서 나오지 선물은 그냥 청산이다롱 숏이 양방향으로 발라먹을 수 있을 것 같지만사실 양방향 트랩같음잃을 수 있는 기회를 양쪽으로 주는 것..선물로 벌 수 있는 확률 2%라던데 나는 동감한다선물로 떼돈 벌었다는 사람 말에 현혹되지마그러니까 유튜브 나오고 인터뷰 나오는거 아니냐?하다못해 주식부자도 인터뷰 나오는데네가 그 사람이 될 수 있을거라고 생각하지마비갤에 인증 나오는거도 여태 주구장창 잃다가하나 성공하면 올리는거임 ㅋㅋ,1895151
2022.02.15 00:26:18,단타하면 수수료로 1/5 정도 나가네. 개같은 병신 시스템,1000만원 시드로5만원 먹으면 1만원이 수수료임즉 한칸 오르면 4만원 버는거고 한칸 내리면 6만원손해..거래소만 좋은일 시키네,1895152
2022.02.15 00:27:03,[속보] 우크라이나 나뭇잎마을 가입신청서 입회,- dc official App,1895156
2022.02.15 00:27:12,언론으로 아무리 떠들어 봤자 내는 못속인다 폭등장 온다,,1895157
2022.02.15 00:27:56,온톨 이평선 6개다모였다 ㄷㄷ,가나?,1895160
2022.02.15 00:28:28,바이든 대통령과 영국 총리는 오늘 오후 12시 30분 연설예정,바이든 미국 대통령과 존슨 영국 총리는 오늘 오후 12시 30분(동부 표준시)에 연설할 예정입니다.,1895161
2022.02.15 00:29:10,오늘도 샌박 시체 그득 태우고 운지하겠노,ㅇㅇ,1895163
2022.02.15 00:29:10,1000만원으로 10일동안 거래한 수수료 계산해보니,매수매도 총 거래액 x 수수료 퍼센트계산해보니수수료만 150만원 냈네;;;;,1895164
2022.02.15 00:29:20,전쟁 난다는데 나스닥도 안떨어지네,아직까진 양전 빨간불이여,1895165
